#   Step          Temp          Press            Lx             Ly             Lz             Xy             Xz             Yz      
    208000   295.77203      118.76114      93.337477      38.034544      41.535317      0              0              0            
    209000   298.88251      160.90599      93.269933      38.00702       41.50526       0              0              0            
    210000   299.61865      22.948805      93.251147      37.999365      41.4969        0              0              0            
    211000   299.69022      165.68723      93.230814      37.99108       41.487852      0              0              0            
    212000   301.28492     -319.61609      93.314379      38.025132      41.525038      0              0              0            
    213000   300.15824      313.15516      93.205219      37.98065       41.476462      0              0              0            
    214000   297.04074      49.836715      93.302405      38.020252      41.51971       0              0              0            
    215000   301.60462      724.62712      93.217487      37.985649      41.481921      0              0              0            
    216000   298.3971       73.177092      93.355921      38.04206       41.543525      0              0              0            
    217000   302.16896     -243.63291      93.277853      38.010248      41.508784      0              0              0            
    218000   299.97764     -324.10074      93.295881      38.017594      41.516807      0              0              0            
    219000   299.03273     -1184.4358      93.282243      38.012037      41.510738      0              0              0            
    220000   299.83106     -159.48415      93.272328      38.007996      41.506326      0              0              0            
    221000   300.90011      1160.8612      93.314887      38.025339      41.525265      0              0              0            
    222000   296.20947      240.7305       93.310394      38.023508      41.523265      0              0              0            
    223000   299.54605     -242.05655      93.290915      38.01557       41.514597      0              0              0            
    224000   296.44578     -822.41868      93.374737      38.049727      41.551898      0              0              0            
    225000   297.64525      175.26138      93.283         38.012345      41.511074      0              0              0            
    226000   297.23928      1005.2791      93.24426       37.996559      41.493835      0              0              0            
    227000   300.32842     -548.87867      93.29153       38.015821      41.514871      0              0              0            
    228000   297.71019      202.50889      93.317607      38.026447      41.526475      0              0              0            
    229000   296.3833      -1084.3217      93.423227      38.069487      41.573476      0              0              0            
    230000   302.03512      974.43633      93.316449      38.025975      41.52596       0              0              0            
    231000   299.49269      104.02462      93.313156      38.024633      41.524494      0              0              0            
    232000   298.96185     -261.20601      93.314588      38.025217      41.525131      0              0              0            
    233000   296.72159      539.01509      93.252348      37.999855      41.497435      0              0              0            
    234000   299.53769      822.47898      93.270873      38.007404      41.505678      0              0              0            
    235000   301.06764      905.09713      93.324605      38.029299      41.529589      0              0              0            
    236000   302.73159      936.86886      93.308924      38.022909      41.522611      0              0              0            
